Keycode,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,period,"echo_TX_CURR_N_Age_Sex_HIVStatus | <1, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 1-4, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 5-9, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 10-14, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 15-19, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 20-24, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 25-29, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 30-34, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 35-39, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 40-44, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 45-49, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50+, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50-54, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 55-59, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 60-64, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 65+, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | <1, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 1-4, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 5-9, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 10-14, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 15-19, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 20-24, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 25-29, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 30-34, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 35-39, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 40-44, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 45-49, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50+, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50-54, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 55-59, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 60-64, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 65+, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | FSW, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | MSM, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | PWID, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - 6 or more months, Positive"
200528,Manica,Manica,XUfVdKbiMwL,CS Messica,gVZ58EQOH6K,Messica CS,2023Q1,1,11,33,28,16,26,68,177,181,144,111,,93,44,52,25,0,1,25,38,38,53,210,422,540,350,245,145,,75,68,32,32,0,252,119,2,0,469,79,28,15,0,0,1703,858,74,58,0,0,0,0,0,0,0,0
200563,Manica,Manica,hPqiPGsEYv5,CS Machipanda,RiIZqF2hfqY,Machipanda CS,2023Q1,1,6,12,8,12,13,32,63,81,83,74,,51,29,19,14,0,0,7,11,13,24,93,155,173,204,127,93,,41,43,30,32,0,140,0,1,0,294,106,11,22,0,0,716,365,19,5,0,0,0,0,0,0,0,0
200938,Manica,Manica,lT5Qs9ETV9s,HD Manica,KjMGcLd3XXd,Manica HD,2023Q1,4,22,63,71,58,92,206,513,586,429,328,,178,148,100,81,0,2,20,71,76,112,475,953,1209,949,655,387,,267,167,102,96,0,150,19,3,12,1416,526,57,52,0,0,2681,1559,106,98,0,0,1273,634,6,10,0,0
338288,Manica,Manica,rfn0xX7liVL,CS 4Âº Congresso,DAcTRfO0CNG,4º Congresso CS,2023Q1,1,2,9,6,4,8,27,57,69,56,36,,18,6,4,3,0,0,4,6,10,15,55,114,156,110,57,53,,23,14,8,2,0,0,0,0,2,166,37,6,6,0,0,441,251,14,12,0,0,0,0,0,0,0,0
200629,Sofala,Caia,wqEd97U0K52,CS Sena,XFEHZnnEGkT,Sena  CS,2023Q1,1,26,42,29,31,38,69,106,106,91,67,,51,25,20,27,0,4,14,35,31,42,176,232,225,183,161,112,,72,41,42,16,0,3,0,0,0,204,70,24,30,0,0,1097,561,60,68,0,0,0,0,0,0,0,0
200577,Sofala,Caia,p798JDcqmrc,HD Caia,vugElbQMtcL,Caia HD,2023Q1,1,57,59,33,24,84,187,284,241,222,151,,114,71,47,50,0,5,73,60,29,103,484,665,614,455,319,214,,125,86,52,37,0,36,0,1,48,772,247,31,25,0,0,2380,1228,136,124,0,0,0,0,0,0,0,0
200580,Sofala,Caia,ARq3tEA0xTJ,CS Nhambalo,tfEtbnUgkGv,Nhambalo CS,2023Q1,0,11,11,3,6,17,21,39,39,43,23,,23,14,5,13,1,0,12,15,4,8,71,94,91,70,54,39,,21,12,10,5,0,0,0,0,0,126,67,8,7,0,1,349,176,23,18,0,0,0,0,0,0,0,0
200579,Sofala,Caia,zHiDaFKNWdi,CS MurraÃ§a,PPb3XMcCAf3,Murraça CS,2023Q1,0,15,25,2,2,18,45,100,62,64,33,,34,23,9,5,0,0,22,20,8,16,88,165,136,100,93,53,,48,9,12,1,0,0,0,0,0,156,78,9,6,0,0,565,317,41,36,0,0,0,0,0,0,0,0
200657,Sofala,Gorongosa,iLe1dgNMg89,CS Gorongosa ,ZWAdop7zYgJ,Gorongoza-Sede CS,2023Q1,1,11,17,27,22,36,117,207,201,182,108,,58,41,27,40,0,0,14,20,35,46,245,425,391,283,244,139,,88,56,31,25,0,24,12,0,3,493,151,38,30,0,0,1476,883,31,26,0,0,0,0,0,0,0,0
200604,Sofala,Chibabava,mlOXv0OHQvf,CS Chibabava -Sede,JnsP1SLvvsw,Chibabava-Sede CS,2023Q1,0,6,4,10,7,12,24,48,50,51,23,,25,22,9,9,0,0,8,5,11,25,63,89,102,113,106,58,,38,23,8,4,0,0,0,0,7,174,43,13,9,0,0,453,237,11,11,0,0,0,0,0,0,0,0
200586,Sofala,Chibabava,xeRs7aXKnm2,CS Hoode,nYIBsKHueFr,Hoode PS,2023Q1,0,1,12,10,4,4,7,15,28,29,40,,31,16,9,10,0,0,3,4,9,3,15,53,67,96,104,69,,51,9,10,9,0,0,0,0,0,110,29,6,10,0,0,375,164,10,13,0,0,0,0,0,0,0,0
200942,Sofala,Chibabava,LWmmJvxx1Gu,HR Muxungue,TWJPFfCeHES,Muxungue CS III,2023Q1,2,14,44,37,34,38,129,232,226,231,161,,117,50,37,37,0,2,21,50,55,57,382,586,573,518,386,245,,130,57,28,26,0,220,0,0,3,422,56,20,14,0,0,2547,1236,108,82,0,0,0,0,0,0,0,0
321331,Sofala,Chibabava,Zb6ryBo3GmN,CS Mutindire,YBG39jGSV17,Mutindire CS,2023Q1,0,8,12,12,5,10,28,53,52,71,44,,43,19,19,8,0,0,9,20,16,15,77,107,151,136,151,58,,48,16,8,6,0,0,0,0,0,185,65,24,15,0,0,587,287,21,17,0,0,0,0,0,0,0,0
200648,Sofala,Cheringoma,qBXL4ozcMHG,HR Inhaminga,d3thFMLEOGr,Inhaminga CS,2023Q1,1,25,22,22,12,48,105,127,101,94,55,,53,28,22,17,0,0,17,36,27,37,249,288,232,174,121,66,,61,35,20,15,0,2,0,0,0,517,274,32,27,0,0,780,388,48,43,0,0,0,0,0,0,0,0
200500,Manica,Gondola,JlUMz2rDy1g,CS Inchope,bifefa8JnfN,Inchope CS,2023Q1,0,12,26,23,13,30,102,179,137,131,100,,64,41,25,28,0,0,13,24,24,54,330,472,437,237,199,115,,85,58,34,20,0,199,3,0,0,569,136,20,18,0,0,1469,713,41,43,0,0,0,1,0,0,0,0
200937,Manica,Gondola,pELuhX7Rgup,CS Gondola Sede,awoAlwC06Go,Gondola Sede CS,2023Q1,3,36,69,49,44,66,182,406,423,378,230,,167,105,78,72,0,8,30,59,63,85,382,740,930,654,458,309,,191,136,78,54,0,12,1,0,2,1134,509,54,56,0,0,1603,977,85,82,0,0,1278,662,20,19,0,0
200527,Manica,Gondola,L7TkArEzSdW,CS Amatongas,e2cMNKCnHOw,Amatongas CS,2023Q1,1,11,8,11,3,16,46,77,61,62,48,,24,16,18,12,0,0,5,15,17,25,86,166,183,92,86,70,,31,23,25,16,0,3,0,0,0,203,55,14,10,0,0,595,328,23,21,0,0,0,0,0,0,0,0
200502,Manica,Gondola,UzFYRpkVqN2,CS Muda SerraÃ§Ã£o,xfxtwRZ7Ejp,Muda Serração CS,2023Q1,0,3,10,5,4,9,44,53,62,76,49,,28,14,17,13,0,0,6,11,13,12,96,158,157,118,107,63,,39,18,10,11,0,3,0,0,0,469,215,19,11,0,0,320,154,11,7,0,0,0,0,0,0,0,0
200588,Sofala,Cidade da Beira,JWkHE4YUUau,CS Ceramica,i4KTQ0RGK3T,Cerâmica CS,2023Q1,1,8,9,5,7,8,56,101,108,93,70,,35,14,17,21,0,0,6,14,6,15,80,174,190,129,79,54,,42,12,21,16,0,0,0,0,0,98,67,1,1,0,0,696,463,25,22,0,0,0,0,0,0,0,0
200615,Sofala,Cidade da Beira,yVukesfhN7e,CS Chamba,hFwwNnFm1B8,Chamba PS,2023Q1,0,15,20,18,11,20,49,139,111,89,64,,29,24,13,15,0,2,17,14,20,21,136,341,376,250,158,90,,52,47,18,17,0,16,0,0,0,291,85,20,12,0,0,1208,478,32,41,0,0,0,0,0,0,0,0
200613,Sofala,Cidade da Beira,JEcWd2ZtbXW,CS Manga Mascarenha,U6Mo4GsQKwT,M. Mascarenha CS,2023Q1,1,26,78,55,59,62,160,295,391,307,254,,165,117,75,80,0,0,27,71,75,115,360,867,873,704,515,366,,227,135,78,77,0,68,28,0,1,793,321,70,57,0,0,3520,1644,103,103,0,0,0,0,0,0,0,0
200591,Sofala,Cidade da Beira,bcmSNr2mpCs,CS Munhava,webeuXrveDi,Munhava CS,2023Q1,5,68,113,120,98,174,476,781,894,756,542,,344,219,150,153,0,7,86,94,144,216,823,1720,1863,1640,1046,745,,434,295,139,123,0,322,318,2,0,1202,518,141,150,0,0,5223,2867,178,142,0,0,2569,1194,12,14,0,0
200590,Sofala,Cidade da Beira,TulcwtPpnb8,CS Manga Nhaconjo,I2tQnsS7wn6,Manga Nhaconjo PS,2023Q1,5,33,58,92,79,84,232,417,564,502,356,,261,225,129,114,0,6,42,61,99,121,460,991,1188,1061,766,584,,353,267,144,124,0,62,8,4,2,734,371,66,64,0,0,3313,1697,135,118,0,0,1976,893,5,5,0,0
200593,Sofala,Cidade da Beira,C7aNdIzrk1P,CS Macurungo,tNf8m963xKK,Macurungo PSA,2023Q1,1,21,48,48,66,92,251,411,528,416,301,,217,126,106,78,0,9,16,56,82,111,372,834,940,817,609,407,,212,156,75,69,0,136,30,2,3,738,252,50,36,0,0,3849,2338,113,81,0,0,0,0,0,0,0,0
200612,Sofala,Cidade da Beira,AG0Ij65tpL5,CS Chota,aoY0wrz6qBF,Chota PS,2023Q1,1,14,20,23,9,18,58,95,137,93,47,,26,12,6,15,0,2,7,26,23,14,143,328,343,258,144,70,,36,20,15,7,0,0,0,0,0,211,46,19,17,0,0,1159,470,39,41,0,0,0,0,0,0,0,0
201658,Sofala,Cidade da Beira,SpwE4sMebjN,CS Marrocanhe,QxSfgx5QfT7,Marrocanhe,2023Q1,1,7,9,5,2,11,28,57,49,51,21,,16,9,6,4,0,0,4,16,8,15,77,122,140,69,45,29,,18,5,6,1,0,0,0,0,0,110,21,6,6,0,0,417,233,22,16,0,0,0,0,0,0,0,0
201657,Sofala,Cidade da Beira,IOginoM10CL,CS Manga Loforte,FdqK3U8rDRX,Manga Loforte,2023Q1,2,29,34,32,20,36,162,265,271,195,96,,46,36,13,9,0,4,29,59,42,50,280,598,595,395,232,132,,60,44,31,15,0,0,0,0,105,440,94,42,30,0,0,1989,1055,92,67,0,0,0,0,0,0,0,0
200616,Sofala,Cidade da Beira,ZQyVTqYwqi6,CS Matadoro,QTFJClMfP8c,Matadouro PS,2023Q1,0,3,20,10,8,21,74,137,99,77,36,,21,15,7,6,0,0,10,19,8,15,199,341,295,139,98,49,,49,19,13,8,0,0,0,0,0,298,75,6,8,0,0,927,425,31,25,0,0,0,0,0,0,0,0
200963,Sofala,Cidade da Beira,UuulAHWKfk9,HC Beira,V1MbBFGqwbB,Hospital Central da Beira HC,2023Q1,2,14,34,54,39,27,19,14,24,42,37,,40,23,17,7,0,2,9,41,49,46,46,30,26,32,38,48,,39,17,9,9,0,0,0,0,0,65,46,11,15,0,0,274,243,90,88,0,0,0,0,0,0,0,0
200592,Sofala,Cidade da Beira,wHarKyfDUwa,CS Nhangau,KQYxmgQNUSD,Nhangau CS,2023Q1,2,5,19,9,5,25,86,103,72,97,45,,35,19,10,11,0,2,6,8,10,15,138,163,156,108,84,41,,35,11,15,11,0,0,0,0,0,133,72,11,11,0,0,641,436,15,24,0,0,0,0,0,0,0,0
200614,Sofala,Cidade da Beira,GJwxy5Apew7,CS Ponta Gea,ZKVzRmYkKzQ,Ponta Gêa PS,2023Q1,1,32,58,85,82,198,559,891,1107,892,669,,480,319,227,185,0,3,29,61,109,159,554,1224,1474,1426,1151,828,,512,339,191,152,0,301,337,22,163,1282,699,97,93,0,0,3040,2491,100,78,0,0,3671,2418,5,5,0,0
200600,Sofala,Nhamatanda,SGBoKQCD9yI,CS Nharuchonga,lKLoN95Lufh,Nharuchonga PS,2023Q1,0,5,13,11,2,9,39,76,66,54,45,,24,10,6,6,0,0,2,13,5,17,114,132,146,97,84,53,,36,18,18,8,0,38,0,0,0,196,41,3,9,0,0,525,296,17,20,0,0,0,0,0,0,0,0
200661,Sofala,Nhamatanda,JNpcC8Vmf7o,CS Metuchira Lomaco,lYNYlzUvgos,Metuchira Lomaco CS,2023Q1,1,3,16,14,4,22,69,110,108,109,52,,29,29,18,19,0,5,15,17,9,24,173,274,222,145,120,71,,37,31,21,17,0,0,0,0,0,108,54,14,3,0,0,1025,515,32,31,0,0,0,0,0,0,0,0
321326,Sofala,Nhamatanda,ZEzNCIIh8B2,CS Chirassicua,vIB6Ofu2fJp,Chirassicua CS,2023Q1,0,6,8,3,4,8,39,43,71,62,48,,28,18,5,6,0,0,8,8,7,18,77,117,105,86,66,39,,31,9,8,9,0,0,0,0,0,184,57,1,1,0,0,381,275,21,13,0,0,0,0,0,0,0,0
200601,Sofala,Nhamatanda,O7hrmPQMkpC,CS Siluvo CSRII,asg9aIblmr6,Siluvo PS,2023Q1,1,13,15,10,5,11,32,69,73,50,45,,20,17,13,13,0,0,16,24,8,23,119,181,191,135,84,41,,46,29,20,12,0,9,0,0,0,249,95,24,12,0,0,632,253,24,27,0,0,0,0,0,0,0,0
200643,Sofala,Nhamatanda,Gb6NMzoxJ9y,CS Lamego,j7218NqxjYe,Lamego CS,2023Q1,3,13,12,10,9,20,55,134,143,94,60,,40,22,15,23,0,0,13,20,19,26,185,306,333,227,172,92,,65,34,18,15,0,0,0,0,0,130,53,3,6,0,0,1342,562,49,31,0,0,0,0,0,0,0,0
200667,Sofala,Nhamatanda,TDmBoHHdXcU,CS Tica CSRII,QvQ5bpVOJDj,Tica PS,2023Q1,4,11,35,22,15,33,98,209,202,191,128,,89,53,32,36,0,3,22,24,19,30,193,450,466,339,255,140,,97,83,50,40,0,8,0,0,0,570,179,38,33,0,0,1573,907,30,39,0,0,0,0,0,0,0,0
200943,Sofala,Nhamatanda,bOa7m01wjCc,HR Nhamatanda Sede,nmdSUueCjti,Nhamatanda HR,2023Q1,7,57,73,59,42,51,201,371,382,342,235,,134,97,72,79,0,4,62,87,79,120,384,900,871,672,538,334,,224,149,91,75,0,120,8,0,24,716,214,64,47,0,0,2751,1378,156,136,0,0,890,414,12,12,0,0
200169,Niassa,Cuamba,IHO6FqT2VCc,CS Mitucue,elnT3rmS6qj,Mitucué CS,2023Q1,0,3,6,0,0,6,15,24,20,14,15,,11,6,6,6,0,0,4,5,0,5,23,42,45,26,24,15,,8,7,7,0,0,0,0,0,0,62,23,3,7,0,0,135,100,6,2,0,0,0,0,0,0,0,0
360175,Niassa,Cuamba,L4A4cHnmqCy,CS Adine 3,WQny6fFqvYX,Adine 3 CS,2023Q1,1,6,4,4,6,10,22,44,49,35,16,,7,8,6,2,0,0,8,12,3,12,85,148,145,84,45,33,,15,3,7,0,0,40,0,1,0,171,41,11,8,0,0,405,164,12,7,0,0,0,0,0,0,0,0
200192,Niassa,Cuamba,mY5o8jTjIKb,CS Cuamba,kdUL3XxL1bF,Cuamba CS,2023Q1,1,27,38,21,21,32,110,177,207,188,109,,83,58,34,24,0,3,19,41,28,54,347,625,678,472,313,161,,105,61,37,25,0,116,9,0,9,1039,217,39,34,0,0,999,435,48,50,0,0,840,390,4,3,0,0
200914,Niassa,Cuamba,qZAR8aTw3ok,HR Cuamba,JTNDUJAu3DA,Cuamba HR,2023Q1,1,9,16,19,21,9,41,74,87,111,96,,87,56,34,24,0,3,5,15,23,27,45,75,118,198,159,169,,101,45,19,19,0,7,0,0,0,133,103,10,8,0,0,181,118,22,22,0,0,661,418,14,15,0,0
200157,Niassa,Cuamba,uSOgQiIsgwu,CS Meripo,MzafLLW5jpx,Meripo CS,2023Q1,0,3,6,4,2,11,18,23,29,17,5,,9,5,1,1,0,0,4,9,1,7,33,41,54,31,16,7,,11,3,3,1,0,0,0,1,0,69,25,12,10,0,0,136,95,2,3,0,0,0,0,0,0,0,0
200669,Sofala,Dondo,ZATPLvkZR0W,CS Savane,ME9FWjRMe4e,Savane PS,2023Q1,0,2,8,6,1,6,19,40,41,26,30,,13,9,6,8,0,0,8,11,8,23,82,106,71,48,31,29,,23,14,10,4,0,0,0,0,0,172,27,3,1,0,0,269,172,24,15,0,0,0,0,0,0,0,0
200617,Sofala,Dondo,M3wyiBatqt0,CS Canhandula,TJp862VOKlS,Canhandula PS,2023Q1,1,12,20,12,9,16,52,92,68,59,33,,18,8,11,7,0,2,13,26,15,14,133,210,211,120,74,45,,32,15,16,12,1,0,0,0,0,231,80,12,8,0,0,651,293,44,37,1,0,0,0,0,0,0,0
200618,Sofala,Dondo,OOVQmzaYBir,CS Dondo Sede,uUmAJIXkmsO,Dondo Sede CS I,2023Q1,8,75,82,100,59,99,373,748,730,566,370,,234,163,130,115,0,11,95,120,97,125,669,1419,1431,1012,721,487,,327,222,128,105,1,480,39,1,37,924,411,102,74,0,0,4336,2565,193,169,1,0,1381,609,28,22,0,0
200633,Sofala,Dondo,j0ccY4zL81U,CS Maxorote,GTQqEhUUV1F,Maxarote PS,2023Q1,2,5,9,2,0,3,24,35,29,21,12,,8,6,1,3,0,2,10,9,8,12,53,100,95,54,53,22,,16,9,5,4,0,0,0,0,0,134,20,8,8,0,0,287,121,21,10,0,0,0,0,0,0,0,0
201858,Sofala,Dondo,t9RIGm3h8DV,CS Samora Machel,dSJcUkmJWvZ,"Samora Machel PS (Sofala, Dondo)",2023Q1,0,7,5,3,2,10,34,47,40,37,20,,16,4,6,3,0,0,3,13,2,10,93,163,128,88,46,33,,15,9,5,4,0,0,0,0,0,196,26,2,2,0,0,398,191,16,13,0,0,0,0,0,0,0,0
321330,Sofala,Dondo,CHxnHTfZupS,CS Igreja Baptista,I6v4GYaXpQC,Igreja Baptista CS,2023Q1,1,16,15,12,6,18,62,101,105,50,43,,18,8,10,4,0,0,21,26,7,32,178,296,285,147,80,43,,43,17,12,7,0,9,0,0,1,245,46,7,14,0,0,894,378,46,30,0,0,0,0,0,0,0,0
200572,Sofala,Dondo,QtNLat7uQMf,CS Mafambisse,hCuRPOStRLU,Mafambisse CS,2023Q1,3,25,53,55,33,42,146,281,331,274,209,,120,83,76,52,0,4,31,62,55,64,360,669,763,597,424,223,,147,96,39,37,0,8,0,0,0,247,87,80,68,0,0,3172,1559,72,68,0,0,0,0,0,0,0,0
200655,Sofala,Dondo,dWJ61DAg5kn,CS Mutua,QtJyTjN5faU,Mutua PS,2023Q1,2,25,18,9,8,34,90,141,122,125,61,,32,30,23,19,0,4,26,22,10,28,194,339,305,158,126,61,,49,30,36,17,0,0,0,0,0,495,248,31,26,0,0,848,437,31,28,0,0,0,0,0,0,0,0
200531,Manica,Cidade de Chimoio,g9AT6oQ6Uoi,CS Nhamaonha,UBe2SLdSmxV,Nhamaonha CS,2023Q1,3,23,49,61,55,77,243,515,577,536,344,,192,164,125,106,0,2,30,68,73,136,633,1221,1325,1087,731,428,,264,166,95,94,0,4,2,1,0,1117,297,46,37,0,0,3989,2164,113,88,0,0,1059,473,14,10,0,0
398330,Manica,Cidade de Chimoio,lR0tDnUzHdB,CS Vila Nova,KxEa3dXzAYv,Vila Nova CS,2023Q1,0,17,39,25,16,24,78,164,221,200,115,,62,42,28,34,0,4,18,25,29,42,239,427,470,469,303,139,,81,51,40,31,0,1,0,2,1,1007,397,30,42,0,0,1277,587,45,39,0,0,0,0,0,0,0,0
200958,Manica,Cidade de Chimoio,oUykqIIWuIb,HP Chimoio,QDkCAOGVng6,Chimoio HP,2023Q1,1,14,25,43,43,12,4,7,11,18,12,,11,14,9,5,0,1,7,35,42,52,18,7,11,18,35,33,,15,18,4,5,0,0,0,0,0,9,11,9,7,0,0,207,135,76,76,0,0,0,0,0,0,0,0
200522,Manica,Cidade de Chimoio,aUtB6n9lhl4,CS Chissui,IJwB2CRmy7D,Chissui CS,2023Q1,0,15,16,21,16,17,99,193,203,133,112,,68,38,31,20,0,0,19,32,22,36,225,469,484,355,190,118,,60,39,27,13,0,4,0,4,8,883,429,23,15,0,0,1133,501,50,37,0,0,0,0,0,0,0,0
201696,Manica,Cidade de Chimoio,SKLMPC7qDwD,CS 7 de Abril,DfdvXXyNSoV,7 de Abril CS,2023Q1,3,24,59,48,39,61,178,365,377,353,218,,144,98,74,43,0,6,32,54,58,82,422,763,913,735,504,286,,171,105,65,55,0,66,207,2,1,1810,688,98,83,0,0,862,513,37,39,0,0,1423,749,15,12,0,0
200525,Manica,Cidade de Chimoio,nT0RSdagl3c,CS Eduardo Mondlane,rlAmYWNUTnR,Eduardo Mondlane CS,2023Q1,6,30,55,90,59,130,373,685,827,748,473,,286,235,148,154,0,5,33,67,88,159,751,1455,1817,1536,1095,537,,343,239,166,116,1,383,77,2,3,987,298,71,72,0,0,4583,2575,92,85,0,0,2630,1242,30,24,1,0
200499,Manica,Cidade de Chimoio,ZPCgEihjMiy,CS 1 Âº de Maio,l7dBO27dhA6,1º Maio CS,2023Q1,8,25,46,80,71,94,215,426,571,539,408,,306,214,177,166,0,4,34,57,82,139,414,925,1150,1069,853,585,,404,244,155,126,0,90,94,1,0,1003,311,44,43,0,0,3215,1905,91,93,0,0,1829,970,40,21,0,0
200559,Manica,Sussundenga,gucAF89KSPW,CS Dombe,xf9Q4yYDlq5,Dombe CS,2023Q1,1,6,14,9,7,14,43,93,91,94,80,,49,27,17,12,0,2,10,21,10,38,157,169,248,248,191,93,,53,27,18,20,0,8,0,1,0,270,70,11,5,0,0,992,457,32,25,0,0,0,0,0,0,0,0
321333,Manica,Sussundenga,IVMLAFPrwB1,CS Sembezea,rnZaJL4iEBz,Sembezea CS,2023Q1,1,6,4,3,2,8,18,32,47,66,27,,19,10,7,7,0,0,4,10,2,9,40,59,76,75,39,20,,7,6,5,2,0,0,0,0,0,95,22,0,0,0,0,243,221,16,14,0,0,0,0,0,0,0,0
338290,Manica,Sussundenga,VE6gqvIqNNU,CS Darue,kny7mdXnSEx,Darue CS,2023Q1,0,4,6,5,1,8,22,38,40,39,22,,15,5,4,3,0,0,6,9,3,18,48,76,95,61,55,30,,32,3,6,4,0,0,0,1,0,126,23,8,4,0,0,296,174,10,11,0,0,0,0,0,0,0,0
200517,Manica,Sussundenga,hzMMspjctBN,CS Sussundenga-Sede,RovRnV9RWFd,Sussundenga CS,2023Q1,2,14,38,36,24,42,108,229,232,186,134,,98,50,47,37,0,1,21,37,32,57,237,431,481,380,233,132,,78,66,30,27,0,34,10,7,33,293,78,20,18,0,0,1859,1107,71,72,0,0,0,1,0,0,0,0
200546,Manica,Sussundenga,QAbnMAYSwNt,CS Munhinga,Kwts2m2rUUp,Munhinga CS,2023Q1,1,3,16,6,5,11,37,55,63,58,28,,29,18,5,11,0,0,7,9,8,15,90,127,136,92,63,32,,26,27,9,5,0,0,0,0,0,270,72,7,7,0,0,352,248,17,19,0,0,0,0,0,0,0,0
200178,Niassa,Cidade de Lichinga,v8IcierBRV0,CS Namacula,TM31sX4CThP,Namacula CS,2023Q1,0,18,24,22,22,35,83,146,150,141,93,,76,37,20,20,0,1,17,28,28,36,178,301,370,277,185,120,,81,38,27,24,0,33,0,0,1,353,109,32,22,0,0,688,409,36,35,0,0,596,305,6,7,0,0
201205,Niassa,Cidade de Lichinga,rA2XtLlH4ZB,CS Lulimire,Ui58kwN6uQ0,Lulimire CS,2023Q1,0,5,8,5,4,8,13,32,36,22,13,,11,5,1,2,0,0,7,8,2,10,58,82,83,45,36,13,,14,6,3,2,0,0,0,0,0,177,59,7,11,0,0,172,87,10,6,0,0,0,0,0,0,0,0
